x,y
-5.0,-9.541406177118569
-4.937106918238993,-8.862969060302653
-4.8742138364779874,-7.722796424957031
-4.811320754716981,-7.526299737601763
-4.748427672955975,-7.707461763901362
-4.685534591194968,-8.921431539388175
-4.622641509433962,-8.831249415542555
-4.559748427672956,-9.74890554497901
-4.49685534591195,-9.16640875745485
-4.433962264150943,-8.191452916517965
-4.371069182389937,-7.407970187452885
-4.3081761006289305,-7.5831379260301555
-4.245283018867925,-9.358432289951562
-4.182389937106918,-6.059612388591407
-4.119496855345912,-6.132181280369034
-4.056603773584905,-6.962151147066808
-3.9937106918238996,-5.986038544508495
-3.930817610062893,-5.811005521040212
-3.867924528301887,-6.547653308603018
-3.8050314465408803,-6.678606923785433
-3.7421383647798745,-7.507113376877191
-3.6792452830188678,-5.0603499070917675
-3.616352201257862,-6.4609662667412895
-3.5534591194968552,-6.205113822906245
-3.490566037735849,-6.724724477645383
-3.4276729559748427,-6.502158423328405
-3.3647798742138364,-5.989914912155426
-3.30188679245283,-6.862661122885545
-3.238993710691824,-5.2451647866095445
-3.1761006289308176,-4.735418876806232
-3.1132075471698113,-3.5382665869198267
-3.050314465408805,-6.017606601340984
-2.9874213836477987,-4.12187255264115
-2.9245283018867925,-5.978396731079551
-2.861635220125786,-4.747383906888237
-2.79874213836478,-4.5485998588258125
-2.7358490566037736,-4.799865363967425
-2.6729559748427674,-3.573300266245594
-2.610062893081761,-3.402318134126792
-2.547169811320755,-3.5504701033781796
-2.4842767295597485,-3.957903997688962
-2.4213836477987423,-4.120958387302312
-2.358490566037736,-3.5598263075184553
-2.2955974842767297,-2.9497158345030265
-2.2327044025157234,-2.9818550391944374
-2.169811320754717,-3.4739493479482104
-2.106918238993711,-2.6720733941994013
-2.0440251572327046,-3.7434417369937583
-1.981132075471698,-2.4696639608864532
-1.9182389937106916,-2.406014661942508
